Job_Duration|Data_Volume|Nbr_Components
26303|7662|5
26303|7971|5
26303|7641|5
26303|8335|5
26303|7561|5
26303|8163|5
26303|8374|5
26303|8399|5
33447|39521|9
26303|7983|5
26303|8324|5
26303|8043|5
33447|39369|9
26303|8328|5
26303|7800|5
26303|8371|5
33447|39033|9
26303|8028|5
26303|7662|5
26303|8168|5
26303|7637|5
33447|39443|9
33447|39645|9
26303|8214|5
26303|8072|5
26303|8021|5
26303|8022|5
26303|7472|5
26303|8113|5
26303|8031|5
26303|7668|5
26303|7994|5
26303|8182|5
26303|7936|5
33447|38955|9
26303|7919|5
26303|8363|5
33447|39199|9
26303|8332|5
26303|7990|5
26303|7662|5
26303|8354|5
26303|7662|5
26303|8280|5
26303|7952|5
26303|7662|5
26303|8088|5
33447|39125|9
26303|8021|5
26303|8376|5
26303|8195|5
26303|8185|5
26303|8026|5
26303|8148|5
26303|8312|5
26303|8355|5
26303|7590|5
33447|39367|9
26303|7488|5
33447|39032|9
26303|8234|5
33447|39145|9
26303|8358|5
26303|7924|5
26303|7993|5
33447|39107|9
26303|7922|5
26303|7793|5
26303|7545|5
26303|8170|5
26303|7662|5
26303|7579|5
26303|7522|5
26303|8358|5
26303|8167|5
26303|8023|5
33447|39108|9
26303|8010|5
26303|8023|5
26303|8195|5
26303|8332|5
26303|7565|5
26303|7662|5
26303|7956|5
33447|39090|9
26303|8136|5
26303|7823|5
